Platform,Model,Manufacturer,ModelName
Android,001DL,Dell,Streak
Android,001HT,HTC,"Desire HD"
Android,003P,Panasonic,003P
Android,003Z,ZTE,Blade
Android,009Z,ZTE,009Z
Android,01016,"KD Interactive",TAB3-Premium-XTREME3
Android,01516,"KD Interactive",TAB3-Premium-XTREME3
Android,01519,Kurio,"TabGo Next Connect"
Android,02018,"KD Interactive",TabXL-Smart-Smart2in1-Tab10
Android,0PAJ5,HTC,"One (E8)"
Android,0PCV1,HTC,"Desire 510"
Android,0PJA10,HTC,"One M9"
Android,0PJA2,HTC,"One M9"
Android,0PM92,HTC,"Desire 626s"
Android,1,"MU (TH)","mu 1"
Android,"10 Plus",DUODUOGO,"10 Plus"
Android,10.1Myros,Vestel,VP100+
Android,100003561,"Onn (Walmart)",onn_100003561
Android,100003562,"Onn (Walmart)",100003562
Android,100005206,DigiLand,ONN
Android,100005207,"Onn (Walmart)",100005207
Android,100005208,"Onn (Walmart)",100005208
Android,100005208-CA,"Onn (Walmart)",100005208-CA
Android,100005209,"Onn (Walmart)",100005209
Android,100011885,"Onn (Walmart)",100011885
Android,100011886,"Onn (Walmart)",100011886
Android,100011886BK,ATVIO,100011886BK
Android,100011886CA,"Onn (Walmart)",100011886CA
Android,100015685-A,"Onn (Walmart)",100015685-A
Android,100015685-E,"Onn (Walmart)",100015685-E
Android,100026191,"Onn (Walmart)",100026191
Android,100026203,"Onn (Walmart)",100026203
Android,1001-G,How,1001-G
Android,"1001-G Go",How,1001_G
Android,1008S,"Gear Mobile",Feel_1008S
Android,1010,"Advan digital","TAB 10"
Android,1016S,Techpad,1016S
Android,1016TPC,IView,1016TPC
Android,101F,Fujitsu,"ARROWS A SoftBank 101F"
Android,101K,Kyocera,"HONEY BEE"
Android,101N,NEC,"MEDIAS CH 101N"
Android,101P,Panasonic,101P
Android,101P51C,Mecer,101P51C
Android,101P51D,Mecer,101P51D
Android,102017,Wishtel,102017
Android,102P,Panasonic,102P
Android,1032,Techpad,1032
Android,10542843,DigiLand,10542843
Android,1070TPC,IView,1070TPC
Android,10A_3G,Umax,10A_3G
Android,10A_LTE_eea,Umax,10A_LTE_eea
Android,10C-PRO-LTE,Umax,10C-PRO-LTE
Android,10C_LTE,Umax,10C_LTE
Android,10DTB10,Hipstreet,Phantom
Android,10DTB12A,Hipstreet,HS-10DTB12A
Android,10DTB42,Hipstreet,Pilot
Android,10DTB44,Hipstreet,Phantom2
Android,10edge,Mediacom,10edge
Android,10LA2,Hyundai,10LA2
Android,10LB1,Hyundai,Koral_10LB1
Android,"10or G2",10.or,10or_G2
Android,10sm3tb,LGE,10SM3TB
Android,10WB1,Hyundai,Koral
Android,10_1Q205,sencor,10_1Q205
Android,1100,Oppo,1100
Android,1100AS,"Touch plus",1100AS
Android,1105,Oppo,1105
Android,1107,Oppo,1107
Android,1170TPC,IView,
Android,11DTB1,Hipstreet,Synergy
Android,1201,Oppo,1201
Android,1206,Oppo,1206
Android,14A-DA,Honda,A-DA
Android,15,Meizu,15
Android,"15 Lite",Meizu,"15 Lite"
Android,"15 Plus",Meizu,"15 Plus"
Android,15in-I-Series-4-USB-C,"ELO Touch",15in-I-Series-4-USB-C
Android,15in-I-Series-4-USBC-V,"ELO Touch",15in-I-Series-4-USBC-V
Android,16,Meizu,16
Android,"16 X",Meizu,"16 X"
Android,16M4HI105024,"Future Mobile Technology","Netsurfer STORM"
Android,16M5HI105023,"Future Mobile Technology","Netsurfer TYPHOON"
Android,16s,Meizu,16s
Android,"16s Pro",Meizu,"16s pro"
Android,16T,Meizu,16T
Android,16th,Meizu,16th
Android,"16th Plus",Meizu,"16th Plus"
Android,175FT1050241,"Future Mobile Technology",Viper
Android,175HS1050231,"Future Mobile Technology",Tomcat
Android,175WT1050231,"Future Mobile Technology",Eagle
Android,176HS1050232,"Future Mobile Technology",B-52
Android,176HS1050531,"Future Mobile Technology",Falcon
Android,1803,Coolpad,1803
Android,1821,Coolpad,1821
Android,1825-I01,Coolpad,1825-I01
Android,1826,Coolpad,1826
Android,1826-I01,Coolpad,1826-I01
Android,1827,Coolpad,1827
Android,185FT5050231,Premio,185FT5050231
Android,186FT1080231,Premio,186FT1080231
Android,186HS1050232,Premio,186HS1050232
Android,186HS1050531,Premio,186HS1050531
Android,186HS2080531,Premio,X1
Android,1901,Coolpad,Cool6
Android,1903,Coolpad,1903
Android,1904,Coolpad,1904
Android,1921,Coolpad,1921
Android,1932,Coolpad,1932
Android,1939,Coolpad,1939
Android,1AEC,Mediacom,1AEC
Android,1AY,Mediacom,1AY
Android,1AZ2P_eea,Pritom,1AZ2P_eea
Android,1AZ2T,Mediacom,1AZ2T
Android,1AZ2TW,Mediacom,1AZ2T
Android,1AZ_eea,Mediacom,1AZ_EEA
Android,1BEC,Mediacom,1BEC_eea
Android,1BY,Mediacom,1BY
Android,1CY,Mediacom,1CY_EEA
Android,1DY,Mediacom,1DY
Android,1DY4G,Mediacom,1DY4G_eea
Android,1EY4G,Edong,1EY4G
Android,2,"TWZ Corporation PLC",2
Android,2013022,Xiaomi,"Hong Mi"
Android,2013023,Xiaomi,Redmi
Android,2014011,Xiaomi,"HM 1STD"
Android,2014501,Xiaomi,"HM 1SLTETD"
Android,2014502,Xiaomi,"HM 2A"
Android,2014811,Xiaomi,"HM 2LTE-CU"
Android,2014812,Xiaomi,"HM 2LTE-CT"
Android,2014813,Xiaomi,"HM 2LTE-CMCC"
Android,2014817,Xiaomi,"HM 2LTE-SA"
Android,2014818,Xiaomi,"HM 2LTE-IN"
Android,2014819,Xiaomi,"HM 2LTE-BR"
Android,201F,Fujitsu,"ARROWS A SoftBank 201F"
Android,201K,Kyocera,"Honeybee Touch"
Android,201M,Motorola,"Droid Razr M"
Android,"2020 FHD Android TV",Philips,"2K Android TV"
Android,"2020/2021 UHD Android TV",Philips,"Android TV"
Android,2021,Coolpad,"N7 Air"
Android,"2021/22 Philips UHD Android TV",Philips,"Android TV"
Android,202F,Fujitsu,"ARROWS A SoftBank 202F"
