Platform,Model,Manufacturer,ModelName
iOS,"AppleTV11,1",Apple,"Apple TV 4K (2nd generation)"
iOS,"AppleTV3,1",Apple,AppleTV
iOS,"AppleTV3,2",Apple,AppleTV
iOS,"AppleTV5,3",Apple,"Apple TV"
iOS,"AppleTV6,2",Apple,"Apple TV 4K"
iOS,arm64,Apple,"iPhone Simulator"
iOS,"AudioAccessory1,1",Apple,HomePod
iOS,i386,Apple,"iPhone Simulator"
iOS,"iPad1,1",Apple,iPad
iOS,"iPad1,2",Apple,"iPad 3G"
iOS,"iPad11,1",Apple,"iPad mini 5th Gen (WiFi)"
iOS,"iPad11,2",Apple,"iPad Mini 5th Gen"
iOS,"iPad11,3",Apple,"iPad Air 3rd Gen (WiFi)"
iOS,"iPad11,4",Apple,"iPad Air 3rd Gen"
iOS,"iPad11,6",Apple,"iPad 8th Gen (WiFi)"
iOS,"iPad11,7",Apple,"iPad 8th Gen (WiFi+Cellular)"
iOS,"iPad12,1",Apple,"iPad (9th generation)"
iOS,"iPad12,2",Apple,"iPad (9th generation)"
iOS,"iPad13,1",Apple,"iPad Air 4th Gen (WiFi)"
iOS,"iPad13,10",Apple,"iPad Pro (12.9-inch) (5th generation)"
iOS,"iPad13,11",Apple,"iPad Pro (12.9-inch) (5th generation)"
iOS,"iPad13,16",Apple,"iPad Air (5th generation)"
iOS,"iPad13,17",Apple,"iPad Air (5th generation)"
iOS,"iPad13,2",Apple,"iPad Air 4th Gen (WiFi+Cellular)"
iOS,"iPad13,4",Apple,"iPad Pro (11-inch) (3rd generation)"
iOS,"iPad13,5",Apple,"iPad Pro (11-inch) (3rd generation)"
iOS,"iPad13,6",Apple,"iPad Pro (11-inch) (3rd generation)"
iOS,"iPad13,7",Apple,"iPad Pro (11-inch) (3rd generation)"
iOS,"iPad13,8",Apple,"iPad Pro (12.9-inch) (5th generation)"
iOS,"iPad13,9",Apple,"iPad Pro (12.9-inch) (5th generation)"
iOS,"iPad14,1",Apple,"iPad mini (6th generation)"
iOS,"iPad14,2",Apple,"iPad mini (6th generation)"
iOS,"iPad2,1",Apple,"iPad 2nd Gen"
iOS,"iPad2,2",Apple,"iPad 2nd Gen (GSM)"
iOS,"iPad2,3",Apple,"iPad 2nd Gen (CDMA)"
iOS,"iPad2,4",Apple,"iPad 2nd Gen (New Revision)"
iOS,"iPad2,5",Apple,"iPad Mini"
iOS,"iPad2,6",Apple,"iPad Mini (GSM+LTE)"
iOS,"iPad2,7",Apple,"iPad Mini (CDMA+LTE)"
iOS,"iPad3,1",Apple,"iPad 3rd Gen"
iOS,"iPad3,2",Apple,"iPad 3rd Gen (CDMA)"
iOS,"iPad3,3",Apple,"iPad 3rd Gen (GSM)"
iOS,"iPad3,4",Apple,"iPad 4th Gen"
iOS,"iPad3,5",Apple,"iPad 4th Gen (GSM+LTE)"
iOS,"iPad3,6",Apple,"iPad 4th Gen (CDMA+LTE)"
iOS,"iPad4,1",Apple,"iPad Air (WiFi)"
iOS,"iPad4,2",Apple,"iPad Air (GSM+CDMA)"
iOS,"iPad4,3",Apple,"iPad Air 1st Gen (China)"
iOS,"iPad4,4",Apple,"iPad Mini Retina (WiFi)"
iOS,"iPad4,5",Apple,"iPad Mini Retina (GSM+CDMA)"
iOS,"iPad4,6",Apple,"iPad Mini Retina (China)"
iOS,"iPad4,7",Apple,"iPad Mini 3 (WiFi)"
iOS,"iPad4,8",Apple,"iPad mini 3 (GSM+CDMA)"
iOS,"iPad4,9",Apple,"iPad Mini 3 (China)"
iOS,"iPad5,1",Apple,"iPad Mini 4 (WiFi)"
iOS,"iPad5,2",Apple,"iPad Mini 4th Gen (WiFi+Cellular)"
iOS,"iPad5,3",Apple,"iPad Air 2 (WiFi)"
iOS,"iPad5,4",Apple,"iPad Air 2 (Cellular)"
iOS,"iPad6,11",Apple,"iPad 5th Gen (WiFi)"
iOS,"iPad6,12",Apple,"iPad 5th Gen (WiFi+Cellular)"
iOS,"iPad6,3",Apple,"iPad Pro (9.7 inch, WiFi)"
iOS,"iPad6,4",Apple,"iPad Pro (9.7 inch, WiFi+LTE)"
iOS,"iPad6,7",Apple,"iPad Pro (12.9 inch, WiFi)"
iOS,"iPad6,8",Apple,"iPad Pro (12.9 inch, WiFi+LTE)"
iOS,"iPad7,1",Apple,"iPad Pro 2nd Gen (WiFi)"
iOS,"iPad7,11",Apple,"iPad 7th Gen 10.2-inch (WiFi)"
iOS,"iPad7,12",Apple,"iPad 7th Gen 10.2-inch (WiFi+Cellular)"
iOS,"iPad7,2",Apple,"iPad Pro 2nd Gen (WiFi+Cellular)"
iOS,"iPad7,3",Apple,"iPad Pro (10.5 inch, WiFi)"
iOS,"iPad7,4",Apple,"iPad Pro (10.5 inch, WiFi+LTE)"
iOS,"iPad7,5",Apple,"iPad 6th Gen (WiFi)"
iOS,"iPad7,6",Apple,"iPad 6th Gen (WiFi+Cellular)"
iOS,"iPad8,1",Apple,"iPad Pro 3rd Gen (11 inch, WiFi)"
iOS,"iPad8,10",Apple,"iPad Pro 4th Gen (11 inch, WiFi+Cellular)"
iOS,"iPad8,11",Apple,"iPad Pro 4th Gen (12.9 inch, WiFi)"
iOS,"iPad8,12",Apple,"iPad Pro 4th Gen (12.9 inch, WiFi+Cellular)"
iOS,"iPad8,2",Apple,"iPad Pro 3rd Gen (11 inch, 1TB, WiFi)"
iOS,"iPad8,3",Apple,"iPad Pro 3rd Gen (11 inch, WiFi+Cellular)"
iOS,"iPad8,4",Apple,"iPad Pro 3rd Gen (11 inch, 1TB, WiFi+Cellular)"
iOS,"iPad8,5",Apple,"iPad Pro 3rd Gen (12.9 inch, WiFi)"
iOS,"iPad8,6",Apple,"iPad Pro 3rd Gen (12.9 inch, 1TB, WiFi)"
iOS,"iPad8,7",Apple,"iPad Pro 3rd Gen (12.9 inch, WiFi+Cellular)"
iOS,"iPad8,8",Apple,"iPad Pro 3rd Gen (12.9 inch, 1TB, WiFi+Cellular)"
iOS,"iPad8,9",Apple,"iPad Pro 4th Gen (11 inch, WiFi)"
iOS,"iPhone1,1",Apple,iPhone
iOS,"iPhone1,2",Apple,"iPhone 3G"
iOS,"iPhone10,1",Apple,"iPhone 8"
iOS,"iPhone10,2",Apple,"iPhone 8 Plus"
iOS,"iPhone10,3",Apple,"iPhone X (Global)"
iOS,"iPhone10,4",Apple,"iPhone 8"
iOS,"iPhone10,5",Apple,"iPhone 8 Plus"
iOS,"iPhone10,6",Apple,"iPhone X (GSM)"
iOS,"iPhone11,2",Apple,"iPhone XS"
iOS,"iPhone11,4",Apple,"iPhone XS Max"
